_class_name,_created_at,_object_id,_updated_at,imageFile,tailNumber
Aircraft,2013-01-17T03:43:59.000Z,wDVoBoHhje,2013-01-17T04:35:42.623Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/86f8c8d5-c7f2-40e6-af7c-cee25268292a-N7714Q.jpg,N7714Q
Aircraft,2013-01-17T03:43:59.770Z,tXlEvhkgez,2013-01-17T04:36:11.645Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/451953dd-8c09-4105-bc47-054d7c57ad23-N756QV.jpg,N756QV
Aircraft,2013-01-17T03:43:59.878Z,jMDzzrC5m2,2013-01-17T04:36:28.899Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/28a82a58-65fe-437b-8bd6-c07725b1d46f-N739LV.jpg,N739LV
Aircraft,2013-01-17T03:43:59.209Z,gQGgcgkuCM,2013-01-17T04:36:43.723Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/5caafa6e-2660-4241-a708-68d2486c1f19-N4920G.jpg,N4920G
Aircraft,2013-01-17T03:43:58.713Z,KRM964WgwR,2013-02-08T18:14:23.911Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/5d962cd0-3bbc-4522-9c41-aafbb84875b8-N35922.jpg,N35922
Aircraft,2013-01-17T03:43:59.868Z,oUnz6BLVMF,2013-02-04T20:57:09.086Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/da7e1538-d45b-47c4-bf6d-5eafaa6adc9e-N337GD.jpg,N337GD
Aircraft,2013-01-17T03:43:59.858Z,gWJ2YimjG5,2013-01-17T04:37:50.168Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/53d1a8b5-d397-4601-9865-1af2ad8baabc-N310EW.jpg,N310EW
Aircraft,2013-01-17T03:43:59.368Z,KhVD1iFq3S,2013-01-17T04:38:07.040Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/fbae5994-0774-4f37-8456-139ebb1aeff4-N2994E.jpg,N2994E
Aircraft,2013-01-17T03:43:59.848Z,sR10CVnQeF,2013-02-08T18:12:26.924Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/7472ce79-733a-4800-b472-090b724f52bf-N250PA.jpg,N250PA
Aircraft,2013-01-17T03:43:59.827Z,gVKm0nEvPC,2013-02-08T18:11:39.107Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/a1c2a1d0-2d07-4812-a899-080e485d2fa5-N150SC.jpg,N150SC
Aircraft,2013-01-17T03:43:59.488Z,tNx1Xs45zM,2013-01-29T00:07:17.684Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/ae606a7c-8a00-4461-8f47-a36dacf89b7f-N1105V.jpg,N1105V
Aircraft,2013-01-31T21:00:41.295Z,ItcEvzb9uK,2013-02-08T18:14:10.629Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/cd9f8e2a-4ffa-4047-a100-23788454c0d3-N9986H.jpg,N9986H
Aircraft,2013-01-31T21:01:41.093Z,3hMf5bryiT,2013-02-08T18:13:06.101Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/531e8a96-01a5-496f-a807-9ca858038b12-N989DE.jpg,N989DE
Aircraft,2013-01-31T21:01:52.257Z,2LM8wHGHMW,2013-02-12T19:41:04.297Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/1bc0eb08-4786-4094-8934-49059d567fb9-N292MA.jpg,N929MA
Aircraft,2013-01-31T21:01:11.009Z,DEGzUaS3yI,2013-02-08T19:25:05.166Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/ad489fda-925c-4d9d-9205-7c76dac52b11-LogEntry-Flight-Synced.png,N4887Z
Aircraft,2013-02-08T20:02:55.946Z,c60GelXQ25,2013-02-08T20:03:34.382Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/294cdc69-08b0-4c69-8644-501f36412312-LogEntry-Flight-Synced.png,VH-POO
Aircraft,2013-02-08T20:03:18.471Z,VyfZm57bPR,2013-02-08T20:04:05.284Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/b9c914df-a709-4f79-8cdf-b4a94a17c486-LogEntry-Flight-Synced.png,ZS-EZK
