_class_name,_created_at,_object_id,_updated_at,airportLocation,airportName,iata,icao
Airport,2013-04-02T15:06:44.743Z,SJSw0YZpYt,2013-04-02T15:06:44.743Z,Afutara,Afutara Airport,AFT,AGAF
Airport,2013-04-02T15:06:45.648Z,wRi078AddN,2013-04-02T15:06:45.648Z,"Arona, Ulawa Island",Ulawa Airport,RNA,AGAR
Airport,2013-04-02T15:06:45.733Z,2HqhuDR0wC,2013-04-02T15:06:45.733Z,"Atoifi, Malaita",Uru Harbour Airport,ATD,AGAT
Airport,2013-04-02T15:06:45.748Z,OcWdgFBmiu,2013-04-02T15:06:45.748Z,Barakoma,Barakoma Airport,,AGBA
Airport,2013-04-02T15:06:45.763Z,IT1isx74Qy,2013-04-02T15:06:45.763Z,Batuna,Batuna Airport,BPF,AGBT
Airport,2013-04-02T15:06:45.778Z,JDFn1TGp1V,2013-04-02T15:06:45.778Z,Geva,Geva Airport,,AGEV
Airport,2013-04-02T15:06:45.793Z,jLzwLxyDP6,2013-04-02T15:06:45.793Z,Auki,Auki Gwaunaru'u Airport,AKS,AGGA
Airport,2013-04-02T15:06:45.808Z,QGd8W46wSB,2013-04-02T15:06:45.808Z,Bellona/Anua,Bellona/Anua Airport,BNY,AGGB
Airport,2013-04-02T15:06:45.823Z,ewpY8T342t,2013-04-02T15:06:45.823Z,"Choiseul Bay, Taro Island",Choiseul Bay Airport,CHY,AGGC
Airport,2013-04-02T15:06:45.837Z,TOr7QmvkKu,2013-04-02T15:06:45.837Z,Mbambanakira,Mbambanakira Airport,MBU,AGGD
Airport,2013-04-02T15:06:45.852Z,N5BiAUTpIj,2013-04-02T15:06:45.852Z,Shortland Island,Balalae Airport,BAS,AGGE
Airport,2013-04-02T15:06:45.867Z,JrxwVlqGHQ,2013-04-02T15:06:45.867Z,"Fera Island, Santa Isabel Island",Fera/Maringe Airport,FRE,AGGF
Airport,2013-04-02T15:06:45.882Z,0VUtS4rtJW,2013-04-02T15:06:45.882Z,"Honiara, Guadalcanal",Honiara FIR,,AGGG
Airport,2013-04-02T15:06:45.897Z,EnV5Ofb9bE,2013-04-02T15:06:45.897Z,"Honiara, Guadalcanal",Honiara International Airport (formerly Henderson Field),HIR,AGGH
Airport,2013-04-02T15:06:45.912Z,esWmH7Kqb5,2013-04-02T15:06:45.912Z,Babanakira,Babanakira Airport,,AGGI
Airport,2013-04-02T15:06:45.927Z,E8GxS8w5pS,2013-04-02T15:06:45.927Z,Avu Avu,Avu Avu Airport,AVU,AGGJ
Airport,2013-04-02T15:06:45.942Z,V7c3m870R4,2013-04-02T15:06:45.942Z,Kirakira,Kirakira Airport,IRA,AGGK
Airport,2013-04-02T15:06:45.957Z,oYhPBOiPmr,2013-04-02T15:06:45.957Z,"Santa Cruz/Graciosa Bay/Luova, Santa Cruz Island",Santa Cruz/Graciosa Bay/Luova Airport,SCZ,AGGL
Airport,2013-04-02T15:06:45.971Z,ahY8i66lkT,2013-04-02T15:06:45.971Z,"Munda, New Georgia Island",Munda Airport,MUA,AGGM
Airport,2013-04-02T15:06:45.987Z,IYxLmCzFYf,2013-04-02T15:06:45.987Z,Gizo Island,Nusatupe Airport,GZO,AGGN
Airport,2013-09-10T16:08:40.718Z,yyb9DIO2Ub,2013-09-10T16:08:52.274Z,Burg,Burg,,EDBG
Airport,2013-04-02T15:06:46.002Z,6S2UauBYuD,2013-04-02T15:06:46.002Z,Mono Island,Mono Airport,MNY,AGGO
Airport,2013-04-02T15:06:46.017Z,qmv6WxTfqz,2013-04-02T15:06:46.017Z,Marau Sound,Marau Sound Airport,PRS,AGGP
Airport,2013-04-02T15:06:46.032Z,4vSqb5rXD0,2013-04-02T15:06:46.032Z,Ontong Java,Ontong Java Airport,,AGGQ
Airport,2013-04-02T15:06:46.046Z,ImitFzpGMD,2013-04-02T15:06:46.046Z,"Rennell/Tingoa, Rennell Island",Rennell/Tingoa Airport,RNL,AGGR
Airport,2013-04-02T15:06:46.061Z,lDN617WOzQ,2013-04-02T15:06:46.061Z,Seghe,Seghe Airport,EGM,AGGS
Airport,2013-04-02T15:06:46.075Z,kS7ES9Able,2013-04-02T15:06:46.075Z,Santa Ana,Santa Ana Airport,NNB,AGGT
Airport,2013-04-02T15:06:46.090Z,3whepv1qo9,2013-04-02T15:06:46.090Z,Marau,Marau Airport,RUS,AGGU
Airport,2013-04-02T15:06:46.106Z,eDcSkL4nSe,2013-04-02T15:06:46.106Z,Suavanao,Suavanao Airport,VAO,AGGV
Airport,2013-04-02T15:06:46.121Z,WiwB7FXGoq,2013-04-02T15:06:46.121Z,Yandina,Yandina Airport,XYA,AGGY
Airport,2013-04-02T15:06:46.136Z,6Ffnx9BS7z,2013-04-02T15:06:46.136Z,Isuna,Isuna Heliport,,AGIN
Airport,2013-04-02T15:06:46.150Z,w8wo6jo4KM,2013-04-02T15:06:46.150Z,Kaghau,Kaghau Airport,KGE,AGKG
Airport,2013-04-02T15:06:46.165Z,ZZJDnN5MKA,2013-04-02T15:06:46.165Z,Kukudu,Kukudu Airport,KUE,AGKU
Airport,2013-04-02T15:06:46.180Z,JQEwOCzp4f,2013-04-02T15:06:46.180Z,Gatokae,Gatokae Aerodrome,GTA,AGOK
Airport,2013-04-02T15:06:46.195Z,EEOlV0ys9y,2013-04-02T15:06:46.195Z,Ringi Cove,Ringi Cove Airport,RIN,AGRC
Airport,2013-04-02T15:06:46.211Z,pdq4jR4Is5,2013-04-02T15:06:46.211Z,Ramata Island,Ramata Airport,RBV,AGRM
Airport,2013-04-02T15:06:46.226Z,whNlV5agjf,2013-04-02T15:06:46.226Z,Buka,Buka Airport,BUA,AYBK
Airport,2013-04-02T15:06:46.241Z,g3mMhju0Ut,2013-04-02T15:06:46.241Z,Kundiawa,Chimbu Airport,CMU,AYCH
Airport,2013-04-02T15:06:46.256Z,h5K2vKQdg8,2013-04-02T15:06:46.256Z,Daru,Daru Airport,DAU,AYDU
Airport,2013-04-02T15:06:46.270Z,MITKPQPTTI,2013-04-02T15:06:46.270Z,Goroka,Goroka Airport,GKA,AYGA
Airport,2013-04-02T15:06:46.285Z,5x54OQvoHn,2013-04-02T15:06:46.285Z,Alotau,Gurney Airport,GUR,AYGN
Airport,2013-04-02T15:06:46.299Z,7qjdpgo5DO,2013-04-02T15:06:46.299Z,Popondetta,Girua Airport,PNP,AYGR
Airport,2013-04-02T15:06:46.317Z,BZh4ljx75S,2013-04-02T15:06:46.317Z,Hoskins,Hoskins Airport,HKN,AYHK
Airport,2013-04-02T15:06:46.332Z,JvnfDp3MwS,2013-04-02T15:06:46.332Z,Kiriwini,Kiriwini Airport,,AYKA
Airport,2013-04-02T15:06:46.347Z,fi8MyxueFp,2013-04-02T15:06:46.347Z,Kiunga,Kiunga Airport,UNG,AYKI
Airport,2013-04-02T15:06:46.361Z,kEQTDljFlE,2013-04-02T15:06:46.361Z,Kikori,Kikori Airport,KRI,AYKK
Airport,2013-04-02T15:06:46.376Z,sOR3hhzZBz,2013-04-02T15:06:46.376Z,Kerema,Kerema Airport,KMA,AYKM
