_class_name,_created_at,_object_id,_updated_at,areaName,locationName,projectName
Project,2014-05-19T20:05:54.503Z,YWipjROEnM,2014-05-19T20:07:06.035Z,Illinois,SRMC Landfills,14-535
Project,2014-05-19T20:05:58.179Z,2C3QFGdv63,2014-05-19T20:07:06.994Z,Wisconson,SRMC Landfills,14-535
Project,2014-09-05T15:33:16.048Z,VTkry9GhCN,2014-09-05T15:34:06.425Z,East_Patchogue,Long_Island,14-501 Apple
Project,2014-09-05T15:33:20.769Z,3piX6iTCVZ,2014-09-05T15:34:06.754Z,Gardiners_Island,Long_Island,14-501 Apple
Project,2014-09-05T15:33:23.564Z,Pdk3Amge1C,2014-09-05T15:34:07.067Z,Hampton_Bays,Long_Island,14-501 Apple
Project,2014-09-05T15:33:26.115Z,Qy0p6mUmvV,2014-09-05T15:34:07.419Z,Huntington,Long_Island,14-501 Apple
Project,2014-09-05T15:33:41.712Z,oQH1n1ovjl,2014-09-05T15:34:09.390Z,Southampton,Long_Island,14-501 Apple
Project,2014-09-05T15:33:46.867Z,jGKrC1LrN8,2014-09-05T15:34:10.751Z,Southhold,Long_Island,14-501 Apple
Project,2014-09-12T17:40:18.042Z,fKsyiW6CEj,2014-09-12T17:40:47.057Z,Farragut,Knoxville,14-501 Apple
Project,2014-09-12T17:40:20.313Z,f288Pd4KQO,2014-09-12T17:40:47.516Z,Knoxville,Knoxville,14-501 Apple
Project,2014-09-12T17:40:22.859Z,KOk1ZiLBRY,2014-09-12T17:40:47.944Z,Maryville,Knoxville,14-501 Apple
Project,2014-09-12T17:41:33.740Z,fOWB6h0eII,2014-09-12T17:41:58.485Z,Signal_mtn,Chattanooga,14-501 Apple
Project,2014-09-12T17:41:40.172Z,ZoBKbvQe8Z,2014-09-12T17:42:03.915Z,Chattanooga,Chattanooga,14-501 Apple
Project,2014-09-12T17:42:57.059Z,LCOkjtc8yO,2014-09-12T17:43:21.682Z,Simpsonville,Greenville,14-501 Apple
Project,2014-09-12T17:44:08.241Z,5LrOGpzRDQ,2014-09-12T17:44:28.748Z,Greensboro,Greensboro,14-501 Apple
Project,2014-09-12T17:44:14.242Z,xxIB7R4CTF,2014-09-12T17:44:29.196Z,High_Point,Greensboro,14-501 Apple
Project,2014-09-19T12:31:37.209Z,Njmo43rDuL,2014-09-19T12:32:02.756Z,Rocky_Hill,Visalia_Porterville,14-501 Apple
Project,2014-09-19T12:33:10.585Z,izWpWLvGOE,2014-09-19T12:33:43.822Z,Broughton_v3,Preston,14-501 Apple (AFOC)
Project,2014-09-19T12:33:15.912Z,1l7xT8Cx0m,2014-09-19T12:33:44.391Z,Chorley_v2,Preston,14-501 Apple (AFOC)
Project,2014-09-19T12:33:20.602Z,NywZvfERN2,2014-09-19T12:33:48.778Z,Penwortham,Preston,14-501 Apple (AFOC)
Project,2014-09-19T12:34:52.513Z,AXSKWfaWBB,2014-09-19T12:35:12.016Z,Warwick_v2,Providence,14-501 Apple
Project,2014-09-19T12:34:57.314Z,97WM5UKxM8,2014-09-19T12:35:16.419Z,Johnston_v2,Providence,14-501 Apple
Project,2014-09-30T12:26:07.527Z,VShUFZRw0x,2014-09-30T12:26:21.405Z,Plumstead_Township_v2,Philidelphia,14-501 Apple
Project,2014-10-03T12:35:53.597Z,eMrbq0sq50,2014-10-03T12:36:25.014Z,Lewisville,Winston_Salem,14-501 Apple
Project,2014-10-03T12:35:58.094Z,NV1ptLarkf,2014-10-03T12:36:21.591Z,Winstonsalem,Winston_Salem,14-501 Apple
Project,2014-10-03T15:21:01.035Z,UEoEnFHml8,2014-10-03T15:24:02.059Z,Jumaco,South Carolina,14-564 McKim & Creed
Project,2014-10-16T12:27:40.217Z,iCHstQo3Uv,2014-10-16T12:27:53.410Z,Fayetteville,Fayetteville,14-501 Apple
Project,2014-10-16T12:29:24.755Z,JnR4ehtA4x,2014-10-16T12:29:31.273Z,Tallahassee,Tallahassee,14-501 Apple
Project,2014-09-04T19:48:59.382Z,Bjg0UM5coy,2014-09-04T19:49:23.856Z,Naaldwijk,The_Hague,14-501 Apple (AFOC)
Project,2014-10-17T13:26:10.032Z,U2TzZLLMdd,2014-10-17T13:26:24.584Z,San_Juan_v2,Los_Angeles,14-501 Apple
Project,2014-10-20T13:20:28.897Z,iiGwA2J1pl,2014-10-20T13:20:38.264Z,ERM_Chicago,Joliet_IL,14-570
Project,2014-10-24T12:40:24.960Z,TZjFFl1c8T,2014-10-24T12:40:35.253Z,Robertsdale,Robertsdale,14-501 Apple
Project,2014-10-24T12:41:48.818Z,jh1nB3ZueO,2014-10-24T12:42:10.029Z,Campbellton_v6,Atlanta,14-501 Apple
Project,2014-10-24T12:41:55.750Z,QrIsj4MCBA,2014-10-24T12:42:12.257Z,Lithonia_v6,Atlanta,14-501 Apple
Project,2014-10-24T13:12:52.957Z,AkiEhsHdmY,2014-10-24T13:13:30.004Z,Near_Queens,New_York,14-501 Apple
Project,2014-09-05T15:31:39.517Z,OgWfWs1Wca,2014-09-05T15:31:50.386Z,Lexington,Lexington,14-501 Apple
Project,2014-09-05T15:32:35.598Z,BfeZtFFjzo,2014-09-05T15:32:41.886Z,Broughton_v2,Preston,14-501 Apple (AFOC)
Project,2014-10-27T12:17:06.983Z,2JkbvaTHnq,2014-10-27T12:17:34.775Z,Campbellton_v7,Atlanta,14-501 Apple
Project,2014-10-27T12:17:13.659Z,1oUV3Ckt0e,2014-10-27T12:17:35.049Z,Campbellton_v8,Atlanta,14-501 Apple
Project,2014-10-27T12:17:17.780Z,3dKnsl1fwJ,2014-10-27T12:17:35.601Z,Lithonia_v7,Atlanta,14-501 Apple
Project,2014-10-27T12:17:22.809Z,ZBHrNSw6un,2014-10-27T12:17:37.059Z,Lithonia_v8,Atlanta,14-501 Apple
Project,2014-10-29T14:05:47.361Z,ies7dbxRJc,2014-10-29T14:06:08.258Z,Staten_Island_v3,New_York,14-501 Apple
Project,2014-10-29T14:05:55.768Z,9HZB3lUPbC,2014-10-29T14:06:09.533Z,Staten_Island_v4,New_York,14-501 Apple
Project,2014-09-05T15:33:46.867Z,jGKrC1LrN8,2014-09-05T15:34:10.751Z,Southhold,Long_Island,14-501 Apple
Project,2014-11-24T11:31:12.527Z,aTE6yqIKF5,2014-11-24T11:31:23.090Z,Deere Mapping,"Moline, IL",14-580
Project,2014-11-27T12:55:54.561Z,5tquFehO30,2014-11-27T12:56:16.694Z,Florida Site,Florida,14-577 APEM
Project,2014-05-30T16:00:24.437Z,XjP2jSVKWX,2014-05-30T16:00:42.687Z,Akron,Akron,14-501 Apple
Project,2014-05-30T18:44:44.025Z,dMBS7TXG2P,2014-05-30T18:45:52.399Z,Elizabeth,Louisville,14-501 Apple
Project,2014-05-30T18:45:02.065Z,HMDbT8rJg7,2014-05-30T18:45:55.834Z,La_Grange,Louisville,14-501 Apple
Project,2014-06-16T13:04:35.331Z,HHDkKE8Zet,2014-06-16T13:05:42.021Z,Joliet,Chicago,14-501 Apple
Project,2014-06-16T13:06:08.147Z,xtH5lIp3ZZ,2014-06-16T15:20:17.714Z,Layton,Salt_Lake_City,14-501 Apple
Project,2014-06-16T13:06:10.645Z,JO8tSt5z2G,2014-06-16T15:20:18.855Z,Magna,Salt_Lake_City,14-501 Apple
Project,2014-06-16T13:06:12.594Z,pFjn3628CZ,2014-06-16T15:20:46.100Z,Ogden,Salt_Lake_City,14-501 Apple
Project,2014-09-19T12:33:10.585Z,izWpWLvGOE,2014-09-19T12:33:43.822Z,Broughton_v3,Preston,14-501 Apple (AFOC)
Project,2014-06-16T15:21:09.447Z,wElRWVBpuM,2014-06-16T15:22:11.698Z,Elk_Ridge,Salt_Lake_City,14-501 Apple
Project,2014-06-16T15:21:18.730Z,7AwQ5tuveh,2014-06-16T15:22:36.501Z,Genola,Salt_Lake_City,14-501 Apple
Project,2014-06-16T15:21:22.239Z,hfQPJ2SznO,2014-06-16T15:22:25.562Z,Kamas,Salt_Lake_City,14-501 Apple
Project,2014-06-16T15:21:39.869Z,e4fWD7aMoI,2014-06-16T15:22:21.416Z,Payson,Salt_Lake_City,14-501 Apple
Project,2014-06-16T15:21:50.494Z,G1XhH9ox10,2014-06-16T15:23:21.864Z,Peoa,Salt_Lake_City,14-501 Apple
Project,2014-06-17T13:51:10.940Z,f881pEPEhi,2014-06-17T17:21:06.504Z,Rainbow_Bridge,Rainbow_Bridge,14-501 Apple
Project,2014-06-17T14:49:05.579Z,yw4eIv6FqO,2014-06-17T14:49:19.803Z,Tropic,Bryce_Canyon,14-501 Apple
Project,2014-06-17T19:12:09.846Z,wn3QhTRzfE,2014-06-17T19:12:35.274Z,Sidney,Victoria,14-501 Apple
Project,2014-06-18T12:21:39.328Z,5OQOzOzuNy,2014-06-18T12:22:08.122Z,Chelsea,Ottawa,14-501 Apple
Project,2014-06-18T12:21:51.510Z,b8adkyZumF,2014-06-18T12:22:08.899Z,Kanata,Ottawa,14-501 Apple
Project,2014-10-16T12:29:24.755Z,JnR4ehtA4x,2014-10-16T12:29:31.273Z,Tallahassee,Tallahassee,14-501 Apple
Project,2014-06-18T12:22:45.197Z,8yF9Z3v1BO,2014-06-18T12:22:56.883Z,Skywalk_v2,Grand_Canyon,14-501 Apple
Project,2014-06-18T12:23:31.769Z,EKlEwEyUVR,2014-06-18T12:23:56.198Z,Sidney,Victoria,14-501 Apple
Project,2014-06-18T12:23:42.314Z,PWRZ2naO1d,2014-06-18T12:24:02.222Z,Victoria_v2,Victoria,14-501 Apple
Project,2014-06-19T12:49:13.989Z,qXVKxzLctz,2014-06-19T12:49:37.264Z,Prague_SW,Prague,14-501 Apple (AFOC)
Project,2014-06-20T13:56:01.065Z,LuiCCdobeT,2014-06-20T13:56:22.962Z,SW,Kansas_City,14-501 Apple
Project,2014-06-20T13:57:42.832Z,7QFYncZiqh,2014-06-20T13:58:21.969Z,New_Campus,San_Francisco,14-501 Apple
Project,2014-06-20T13:57:47.580Z,ccbvT9Hyyy,2014-06-20T13:58:22.405Z,Bay_Bridge_v2,San_Francisco,14-501 Apple
Project,2014-10-24T12:40:54.686Z,CrL6V8pPpG,2014-10-24T12:41:27.677Z,Edison_n,New_York,14-501 Apple
Project,2014-06-23T13:11:35.048Z,2HBV96rSji,2014-06-23T13:11:43.934Z,Prague_CC,Prague,14-501 Apple (AFOC)
Project,2014-06-23T18:39:57.865Z,P5VGpFNzKW,2014-06-23T18:40:40.981Z,Hamilton,Toronto,14-501 Apple
