_class_name,_created_at,_object_id,_updated_at,sensorName
Sensor,2013-01-17T04:01:39.668Z,R2Z8nkzM5m,2013-01-17T04:01:39.668Z,K14
Sensor,2013-01-17T04:01:39.860Z,qV1hqtT0sv,2013-01-17T04:01:39.860Z,K15
Sensor,2013-01-17T04:01:40.018Z,7VRiAk77BL,2013-01-17T04:01:40.018Z,K2
Sensor,2013-01-17T04:01:40.270Z,5ChIrtU7hZ,2013-01-17T04:01:40.270Z,K4
Sensor,2013-01-17T04:01:40.459Z,1q6tyblIuC,2013-01-17T04:01:40.459Z,M1-P
Sensor,2013-01-17T04:01:40.565Z,qQ8msbIbF2,2013-01-17T04:01:40.565Z,M2
Sensor,2013-01-17T04:01:40.670Z,Lz3NxBIZ0b,2013-01-17T04:01:40.670Z,M3
Sensor,2013-01-17T04:01:40.861Z,ZyKZTNJrcB,2013-02-04T19:26:50.669Z,M4-P
Sensor,2013-01-17T04:01:41.005Z,5C4lqJoGNt,2013-01-17T04:01:41.005Z,M5
Sensor,2013-01-17T04:01:41.132Z,7CMxNLNQYx,2013-01-17T04:01:41.132Z,S2
Sensor,2013-01-17T04:01:41.257Z,Iq6507PnHR,2013-01-17T04:01:41.257Z,LMK
Sensor,2013-01-17T04:01:41.286Z,GJJ6xAx71M,2013-01-17T04:01:41.286Z,LMK2000
Sensor,2013-02-04T19:25:48.755Z,I6fcEWunyw,2013-02-04T19:25:48.755Z,K3
Sensor,2013-02-04T19:26:07.736Z,4DkF2KObJ3,2013-02-04T19:26:07.736Z,K7
Sensor,2013-02-04T19:26:28.766Z,cd41gkjRBW,2013-02-04T19:26:28.766Z,K8
Sensor,2013-02-07T21:21:27.213Z,me6TjExrOj,2013-02-07T21:21:27.213Z,Other
Sensor,2013-02-07T21:22:42.762Z,8H0RDMTvIV,2013-02-20T15:05:26.994Z,M&C Harrier 680i
Sensor,2013-02-07T21:22:54.526Z,4ZEUPXD2n6,2013-02-07T21:23:19.519Z,Trimble Harrier 680i
Sensor,2013-01-17T04:01:41.453Z,6o3NvDG9Sz,2013-02-20T15:08:31.743Z,WAM Harrier 68i
Sensor,2013-08-01T18:00:57.988Z,gSkePpckkh,2013-08-01T18:01:02.975Z,R1
Sensor,2013-08-01T18:01:06.811Z,4WMIVfYWvd,2013-08-01T18:01:06.811Z,R2
Sensor,2013-08-01T18:01:30.866Z,4vnEoceQqa,2013-08-01T18:01:30.866Z,R3
Sensor,2013-08-01T18:01:33.473Z,DazEUk1Fxg,2013-08-01T18:01:33.473Z,R4
Sensor,2013-08-01T18:01:35.806Z,50CAx1Uww9,2013-08-01T18:01:35.806Z,R5
Sensor,2013-08-01T18:01:38.327Z,osjXgAJokw,2013-08-01T18:01:38.327Z,R6
Sensor,2013-08-01T18:01:41.116Z,YOymh1oDEL,2013-08-01T18:01:41.116Z,R7
Sensor,2013-08-01T18:01:48.402Z,rGw9wrTqJ4,2013-08-01T18:01:52.081Z,R8
Sensor,2013-08-01T18:01:55.147Z,jrD3WReFiQ,2013-08-01T18:01:55.147Z,R9
Sensor,2013-08-01T18:01:58.201Z,RUcuf6iLML,2013-08-01T18:01:58.201Z,R10
Sensor,2013-08-01T18:02:01.600Z,s70BaDqbVS,2013-08-01T18:02:01.600Z,R11
Sensor,2013-08-01T18:02:03.905Z,q8W9RqLk30,2013-08-01T18:02:03.905Z,R12
